,nama_kabupaten_kota,AGRIBISNIS,KULINER,MAKANAN,MINUMAN,OBAT-OBATAN,telur_ayam_buras,telur_puyuh,telur_itik,telur_ayam_petelur,aren,susu_sapi,pandan,pinang,pala,kopi_robusta,kopi_arabica,ikan_tuna,kayu_manis,kelapa_hibrida,kina,daging_kelinci,daging_ayam_pedaging,daging_ayam_petelur,daging_domba,daging_kerbau,lada,kelapa_sawit,kulit_sapi,daging_kambing,daging_itik_manila,daging_puyuh,daging_ayam_buras,daging_itik,daging_sapi
0,KABUPATEN BANDUNG,0,160772,117700,21820,0,4228,55,1986,7319,548,71379,0,1.0,0.0,130,7526,0.0,0.0,0,0,26,38397,357,349,58,0,0,575.84,13,28,6,2024,247,7495.847
1,KABUPATEN BEKASI,5,105182,76941,14272,0,352,0,1342,2832,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,8763,100,512,17,0,0,0.0,282,0,0,643,184,1680.492
2,KABUPATEN BOGOR,11,170682,124905,23166,0,4233,142,836,231900,685,22542,0,0.0,543.0,4004,473,0.0,0.0,22,0,0,170479,8280,805,243,1,43183,0.0,371,104,15,2027,104,9908.119
3,KABUPATEN CIAMIS,0,63635,46591,8634,0,3218,108,1100,43209,329,177,0,0.0,24.0,936,15,0.0,0.0,0,0,7,23537,2107,218,62,56,0,104.78,173,0,12,1541,137,1219.172
4,KABUPATEN CIANJUR,16,114126,83553,15504,4,10406,52,4968,67298,18873,4827,0,0.0,81.0,160,227,0.0,0.0,384,4,20,55239,3282,751,108,16,10414,169.62,72,0,6,4983,617,2229.888
5,KABUPATEN CIREBON,14,114972,84172,15605,1,2901,50,3666,1290,0,421,0,0.0,0.0,0,0,0.0,0.0,0,0,4,24903,63,1662,7,0,0,341.24,78,141,5,1389,455,4371.888
6,KABUPATEN GARUT,7,117941,86322,16005,0,5494,0,4404,36311,16168,18650,0,1.0,7.0,724,2320,0.0,4.0,0,8,0,31142,4366,31,44,16,0,63.2,327,0,0,8731,44,731.36
7,KABUPATEN INDRAMAYU,8,86961,63625,11804,0,3999,29,14451,991,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,2,36687,48,360,2,0,0,179.58,165,507,3,1915,1795,2117.055
8,KABUPATEN KARAWANG,1,106324,77815,14439,1,1184,3,12355,1375,0,20,0,0.0,0.0,222,0,0.0,0.0,0,0,0,71539,72,118,39,2,0,240.24,18,0,0,434,1,1242.58
9,KABUPATEN KUNINGAN,1,43250,31637,5872,0,1133,251,432,28631,1440,19263,0,0.24,14.0,999,6,0.0,0.0,0,0,6,26297,1396,1348,0,8,0,131.42,35,2,27,542,54,1562.949
10,KABUPATEN MAJALENGKA,10,71431,52285,9692,0,2253,0,1179,7160,1078,1748,0,0.0,7.0,223,42,0.0,0.0,0,4,0,23838,349,1745,18,89,0,193.96,127,105,0,1079,146,2272.862
11,KABUPATEN PURWAKARTA,18,39724,29047,5403,0,3200,0,7800,16427,1308,50,0,0.0,49.0,187,0,0.0,0.0,0,0,0,66991,801,14730,9,25,0,120.02,204,0,0,1532,969,1537.769
12,KABUPATEN SUBANG,9,77275,56557,10488,1,3553,18,4483,1271,120,14243,0,33.0,1.0,426,121,0.0,0.0,0,0,6,58905,36,1678,5,38,13420,111.82,158,29,2,1533,447,1272.156
13,KABUPATEN SUKABUMI,11,122426,89590,16615,0,868,301,244,62252,5609,7387,0,4.0,392.0,0,271,1440.0,0.0,0,0,0,46698,1610,1835,94,34,58438,0.0,28,74,6,901,62,1876.851
14,KABUPATEN SUMEDANG,3,52963,38722,7175,0,1315,17,512,10366,1386,9219,0,0.0,0.0,266,722,0.0,0.0,72,0,7,20683,505,175,1,182,0,134.22,7,11,2,629,64,1561.65
15,KOTA BANDUNG,0,156677,114454,21235,1,75,0,10,34,0,1596,0,0.0,0.0,0,0,0.0,0.0,0,0,0,1180,2,438,0,0,0,694.64,0,0,0,36,2,9002.468
16,KOTA BANJAR,2,11830,8653,1609,1,69,24,65,701,129,0,0,0.0,0.0,6,0,0.0,0.0,0,0,0,5010,34,10,0,9,0,55.0,6,1,3,71,8,710.283
17,KOTA BEKASI,4,92400,67614,12544,0,276,0,118,1794,0,172,0,0.0,0.0,0,0,0.0,0.0,0,0,0,2604,87,2915,9,0,0,258.9,3325,0,0,132,15,3249.839
18,KOTA BOGOR,0,39314,28795,5340,0,175,2,7,82,0,2811,0,0.0,0.0,0,0,0.0,0.0,0,0,0,1422,4,92,3,0,0,0.0,5,2,0,84,1,4312.524
19,KOTA CIMAHI,0,25946,19005,3513,1,32,1,15,0,0,1374,0,0.0,0.0,0,0,0.0,0.0,0,0,0,303,0,267,2,0,0,43.6,0,1,0,15,2,507.286
20,KOTA CIREBON,1,18302,13533,2496,1,106,7,20,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,168,0,0,0,50.42,48,2,1,51,3,617.544
21,KOTA DEPOK,0,73980,54057,10025,0,49,0,189,2292,0,1260,0,0.0,0.0,0,0,0.0,0.0,0,0,0,3607,112,140,32,0,0,556.5,172,0,0,24,23,7359.351
22,KOTA SUKABUMI,5,18218,13386,2478,0,153,87,30,6528,0,232,0,0.0,0.39,0,0,0.0,0.0,0,0,0,3828,318,636,2,0,0,124.84,39,0,10,73,4,1601.432
23,KOTA TASIKMALAYA,2,41492,30374,5634,2,1568,51,294,2599,15,513,0,2.0,2.0,5,0,0.0,0.0,0,0,0,3705,69,20,0,5,0,273.86,12,0,6,675,29,3659.518
